TIME,CH1,Model,TBS2074B
-1.6,-0.0034,Firmware Version,v1.31.16
-1.598,-0.001,,
-1.597,-0.0004,Point Format,Y
-1.595,-0.0024,Horizontal Units,S
-1.594,0.0022,Horizontal Scale,0.2
-1.592,0.0036,Sample Interval,0.0016
-1.59,0.003,Filter Frequency,200000000
-1.589,-0.0058,Record Length,2000
-1.587,0.0016,Gating,0.0% to 100.0%
-1.586,0.0002,Probe Attenuation,1
-1.584,0.004,Vertical Units,V
-1.582,0.0014,Vertical Offset,0
-1.581,-0.0004,Vertical Scale,0.005
-1.579,0.0014,Label,
-1.578,0.002,,
-1.576,0.0002,,
-1.574,0.0022,,
-1.573,0.0014,,
-1.571,0.0026,,
-1.57,-0.0024,,
-1.568,0.0046,,
-1.566,-0.0046,,
-1.565,0.0042,,
-1.563,-0.0008,,
-1.562,0.0046,,
-1.56,-0.0008,,
-1.558,0.0038,,
-1.557,-0.0002,,
-1.555,-0.006,,
-1.554,-0.001,,
-1.552,-0.003,,
-1.55,-0.0012,,
-1.549,0.0002,,
-1.547,0.0042,,
-1.546,0.001,,
-1.544,0.0034,,
-1.542,0.001,,
-1.541,-0.0028,,
-1.539,-0.0028,,
-1.538,0.0012,,
-1.536,-0.0034,,
-1.534,-0.0016,,
-1.533,0.0044,,
-1.531,0.0022,,
-1.53,0.0032,,
-1.528,0.002,,
-1.526,-0.0038,,
-1.525,0.0082,,
-1.523,-0.0026,,
-1.522,0.0092,,
-1.52,-0.0046,,
-1.518,0.0018,,
-1.517,0.0022,,
-1.515,-0.0022,,
-1.514,-0.0022,,
-1.512,-0.0014,,
-1.51,0.0016,,
-1.509,-0.0004,,
-1.507,0.004,,
-1.506,-0.001,,
-1.504,-0.0024,,
-1.502,0.0032,,
-1.501,0.0018,,
-1.499,-0.001,,
-1.498,0.0026,,
-1.496,0.002,,
-1.494,0,,
-1.493,-0.0002,,
-1.491,-0.003,,
-1.49,-0.0016,,
-1.488,-0.0028,,
-1.486,-0.0032,,
-1.485,0.0092,,
-1.483,-0.0032,,
-1.482,-0.0002,,
-1.48,-0.0026,,
-1.478,-0.0004,,
-1.477,0.0052,,
-1.475,0.0016,,
-1.474,0.005,,
-1.472,-0.002,,
-1.47,0.002,,
-1.469,0.0038,,
-1.467,0.0008,,
-1.466,0.0032,,
-1.464,-0.0008,,
-1.462,0.0034,,
-1.461,0.0028,,
-1.459,-0.0016,,
-1.458,0.0004,,
-1.456,0.0004,,
-1.454,-0.0026,,
-1.453,-0.0002,,
-1.451,0.005,,
-1.45,0.001,,
-1.448,0.0046,,
-1.446,-0.002,,
-1.445,0.0034,,
-1.443,-0.0054,,
-1.442,0.0002,,
-1.44,-0.0002,,
-1.438,0.0008,,
-1.437,-0.0026,,
-1.435,0.0002,,
-1.434,-0.0026,,
-1.432,0.0002,,
-1.43,-0.001,,
-1.429,0.002,,
-1.427,0.0004,,
-1.426,0.0044,,
-1.424,0.001,,
-1.422,0.0014,,
-1.421,-0.0006,,
-1.419,-0.0014,,
-1.418,-0.0018,,
-1.416,-0.0002,,
-1.414,-0.0028,,
-1.413,-0.0012,,
-1.411,0.0052,,
-1.41,-0.0014,,
-1.408,0.0008,,
-1.406,0.0008,,
-1.405,0.0048,,
-1.403,-0.0006,,
-1.402,0.0058,,
-1.4,0.0016,,
-1.398,0.0026,,
-1.397,-0.0016,,
-1.395,-0.0034,,
-1.394,0.0016,,
-1.392,0.002,,
-1.39,0.0012,,
-1.389,-0.0066,,
-1.387,-0.0036,,
-1.386,-0.0022,,
-1.384,-0.003,,
-1.382,-0.001,,
-1.381,0.0014,,
-1.379,-0.0014,,
-1.378,0.005,,
-1.376,-0.0014,,
-1.374,0.0022,,
-1.373,0.0018,,
-1.371,0.0014,,
-1.37,-0.0012,,
-1.368,0.004,,
-1.366,-0.004,,
-1.365,0.0034,,
-1.363,-0.0066,,
-1.362,0.0024,,
-1.36,0.0004,,
-1.358,-0.0016,,
-1.357,-0.0002,,
-1.355,-0.0058,,
-1.354,0.0012,,
-1.352,0,,
-1.35,0,,
-1.349,-0.0014,,
-1.347,-0.003,,
-1.346,0.0004,,
-1.344,0.0006,,
-1.342,0.0002,,
-1.341,0,,
-1.339,-0.0016,,
-1.338,-0.0006,,
-1.336,0.0008,,
-1.334,0.0014,,
-1.333,-0.0032,,
-1.331,-0.0002,,
-1.33,-0.0062,,
-1.328,-0.0006,,
-1.326,-0.0028,,
-1.325,0.005,,
-1.323,-0.0044,,
-1.322,0.0066,,
-1.32,-0.0018,,
-1.318,0.0018,,
-1.317,-0.0002,,
-1.315,-0.0038,,
-1.314,-0.001,,
-1.312,-0.0012,,
-1.31,-0.0034,,
-1.309,-0.001,,
-1.307,0.0048,,
-1.306,-0.0012,,
-1.304,0.004,,
-1.302,0.0022,,
-1.301,-0.0012,,
-1.299,-0.0032,,
-1.298,-0.001,,
-1.296,-0.0048,,
-1.294,-0.0022,,
-1.293,0.0034,,
-1.291,0.0004,,
-1.29,-0.0014,,
-1.288,-0.0014,,
-1.286,-0.0042,,
-1.285,0.0064,,
-1.283,-0.004,,
-1.282,0.0058,,
-1.28,0.0008,,
-1.278,0.0026,,
-1.277,-0.0016,,
-1.275,0.0006,,
-1.274,-0.0034,,
-1.272,-0.0012,,
-1.27,0.004,,
-1.269,0.0018,,
-1.267,-0.004,,
-1.266,-0.0004,,
-1.264,-0.0018,,
-1.262,-0.0026,,
-1.261,-0.0034,,
-1.259,0.0034,,
-1.258,-0.0002,,
-1.256,0.003,,
-1.254,0.0024,,
-1.253,-0.0028,,
-1.251,0.0008,,
-1.25,0.0018,,
-1.248,0.0064,,
-1.246,-0.0036,,
-1.245,-0.0016,,
-1.243,-0.0036,,
-1.242,-0.003,,
-1.24,-0.004,,
-1.238,-0.002,,
-1.237,0.0016,,
-1.235,-0.0006,,
-1.234,0.0052,,
-1.232,-0.0016,,
-1.23,0.0026,,
-1.229,-0.0002,,
-1.227,-0.0016,,
-1.226,-0.0024,,
-1.224,0.0004,,
-1.222,-0.002,,
-1.221,0.002,,
-1.219,0.0002,,
-1.218,0.0032,,
-1.216,0.0004,,
-1.214,0.0038,,
-1.213,-0.0012,,
-1.211,-0.0054,,
-1.21,-0.0002,,
-1.208,-0.0016,,
-1.206,-0.0026,,
-1.205,0.0038,,
-1.203,-0.0052,,
-1.202,-0.0006,,
-1.2,-0.0066,,
-1.198,-0.0026,,
-1.197,0.0044,,
-1.195,-0.0008,,
-1.194,0.0052,,
-1.192,-0.0006,,
-1.19,0.001,,
-1.189,-0.0036,,
-1.187,0.0006,,
-1.186,-0.0006,,
-1.184,-0.0004,,
-1.182,0.0014,,
-1.181,-0.002,,
-1.179,0.0006,,
-1.178,-0.0012,,
-1.176,-0.002,,
-1.174,0.0044,,
-1.173,0.0004,,
-1.171,-0.0052,,
-1.17,-0.0032,,
-1.168,-0.0026,,
-1.166,-0.005,,
-1.165,0.0048,,
-1.163,-0.0032,,
-1.162,0.003,,
-1.16,-0.0038,,
-1.158,-0.0018,,
-1.157,0.0042,,
-1.155,0.0018,,
-1.154,0.0046,,
-1.152,0.0006,,
-1.15,0.001,,
-1.149,-0.0004,,
-1.147,0.0012,,
-1.146,-0.0016,,
-1.144,0.002,,
-1.142,-0.0042,,
-1.141,-0.0018,,
-1.139,-0.0006,,
-1.138,-0.0028,,
-1.136,-0.0006,,
-1.134,-0.0028,,
-1.133,-0.0006,,
-1.131,0.0052,,
-1.13,-0.0016,,
-1.128,0.0016,,
-1.126,-0.0008,,
-1.125,0.0062,,
-1.123,-0.0016,,
-1.122,0.005,,
-1.12,0.0008,,
-1.118,0.0004,,
-1.117,-0.0028,,
-1.115,-0.003,,
-1.114,-0.002,,
-1.112,-0.0032,,
-1.11,-0.0004,,
-1.109,0.0022,,
-1.107,0.002,,
-1.106,0.0014,,
-1.104,0.0026,,
-1.102,0.001,,
-1.101,-0.0022,,
-1.099,-0.0004,,
-1.098,-0.003,,
-1.096,0.001,,
-1.094,-0.0044,,
-1.093,-0.0032,,
-1.091,-0.002,,
-1.09,-0.004,,
-1.088,0.0028,,
-1.086,-0.007,,
-1.085,0.0006,,
-1.083,0,,
-1.082,-0.0004,,
