TIME,CH1,Model,TBS2074B
-0.008,0.0052,Firmware Version,v1.31.16
-0.007992,0.0052,,
-0.007984,0.0048,Point Format,Y
-0.007976,0.0048,Horizontal Units,S
-0.007968,0.004,Horizontal Scale,0.001
-0.00796,0.0048,Sample Interval,0.000008
-0.007952,0.0048,Filter Frequency,200000000
-0.007944,0.0044,Record Length,2000
-0.007936,0.004,Gating,0.0% to 100.0%
-0.007928,0.0044,Probe Attenuation,1
-0.00792,0.0048,Vertical Units,V
-0.007912,0.004,Vertical Offset,0
-0.007904,0.004,Vertical Scale,0.01
-0.007896,0.0032,Label,
-0.007888,0.004,,
-0.00788,0.004,,
-0.007872,0.0032,,
-0.007864,0.004,,
-0.007856,0.0044,,
-0.007848,0.0048,,
-0.00784,0.004,,
-0.007832,0.0036,,
-0.007824,0.0032,,
-0.007816,0.0036,,
-0.007808,0.0036,,
-0.0078,0.0032,,
-0.007792,0.0036,,
-0.007784,0.004,,
-0.007776,0.0028,,
-0.007768,0.0036,,
-0.00776,0.0032,,
-0.007752,0.0036,,
-0.007744,0.0036,,
-0.007736,0.0036,,
-0.007728,0.0048,,
-0.00772,0.004,,
-0.007712,0.004,,
-0.007704,0.0028,,
-0.007696,0.0032,,
-0.007688,0.0028,,
-0.00768,0.0036,,
-0.007672,0.0036,,
-0.007664,0.0032,,
-0.007656,0.0036,,
-0.007648,0.0032,,
-0.00764,0.0048,,
-0.007632,0.0036,,
-0.007624,0.0032,,
-0.007616,0.0028,,
-0.007608,0.0036,,
-0.0076,0.0036,,
-0.007592,0.0024,,
-0.007584,0.0036,,
-0.007576,0.0036,,
-0.007568,0.004,,
-0.00756,0.0036,,
-0.007552,0.0032,,
-0.007544,0.0024,,
-0.007536,0.0036,,
-0.007528,0.0036,,
-0.00752,0.0036,,
-0.007512,0.0036,,
-0.007504,0.0036,,
-0.007496,0.0008,,
-0.007488,0.002,,
-0.00748,0.0016,,
-0.007472,0.002,,
-0.007464,0.002,,
-0.007456,0.0016,,
-0.007448,0.0044,,
-0.00744,0.002,,
-0.007432,0.0028,,
-0.007424,0.002,,
-0.007416,0.0024,,
-0.007408,0.002,,
-0.0074,0.002,,
-0.007392,0.0028,,
-0.007384,0.002,,
-0.007376,0.002,,
-0.007368,0.0024,,
-0.00736,0.0036,,
-0.007352,0.0024,,
-0.007344,0.0024,,
-0.007336,0.002,,
-0.007328,0.0024,,
-0.00732,0.0024,,
-0.007312,0.002,,
-0.007304,0.0032,,
-0.007296,0.0028,,
-0.007288,0.0032,,
-0.00728,0.0032,,
-0.007272,0.0032,,
-0.007264,0.0028,,
-0.007256,0.0032,,
-0.007248,0.0036,,
-0.00724,0.004,,
-0.007232,0.0032,,
-0.007224,0.0044,,
-0.007216,0.0028,,
-0.007208,0.004,,
-0.0072,0.004,,
-0.007192,0.004,,
-0.007184,0.004,,
-0.007176,0.0048,,
-0.007168,0.0072,,
-0.00716,0.0048,,
-0.007152,0.0052,,
-0.007144,0.0052,,
-0.007136,0.0048,,
-0.007128,0.0048,,
-0.00712,0.0048,,
-0.007112,0.0052,,
-0.007104,0.0048,,
-0.007096,0.0052,,
-0.007088,0.0052,,
-0.00708,0.0064,,
-0.007072,0.006,,
-0.007064,0.0056,,
-0.007056,0.006,,
-0.007048,0.006,,
-0.00704,0.006,,
-0.007032,0.006,,
-0.007024,0.0064,,
-0.007016,0.0064,,
-0.007008,0.006,,
-0.007,0.008,,
-0.006992,0.008,,
-0.006984,0.0076,,
-0.006976,0.0076,,
-0.006968,0.0076,,
-0.00696,0.0088,,
-0.006952,0.0076,,
-0.006944,0.0076,,
-0.006936,0.0064,,
-0.006928,0.0068,,
-0.00692,0.0072,,
-0.006912,0.0064,,
-0.006904,0.0072,,
-0.006896,0.0068,,
-0.006888,0.008,,
-0.00688,0.0068,,
-0.006872,0.0072,,
-0.006864,0.0068,,
-0.006856,0.0068,,
-0.006848,0.0072,,
-0.00684,0.0068,,
-0.006832,0.0064,,
-0.006824,0.006,,
-0.006816,0.0068,,
-0.006808,0.0064,,
-0.0068,0.0064,,
-0.006792,0.0064,,
-0.006784,0.0064,,
-0.006776,0.0068,,
-0.006768,0.0068,,
-0.00676,0.0064,,
-0.006752,0.0064,,
-0.006744,0.0068,,
-0.006736,0.0072,,
-0.006728,0.006,,
-0.00672,0.0064,,
-0.006712,0.0068,,
-0.006704,0.0064,,
-0.006696,0.0064,,
-0.006688,0.0064,,
-0.00668,0.008,,
-0.006672,0.0068,,
-0.006664,0.0072,,
-0.006656,0.0064,,
-0.006648,0.0064,,
-0.00664,0.0068,,
-0.006632,0.006,,
-0.006624,0.0068,,
-0.006616,0.006,,
-0.006608,0.006,,
-0.0066,0.006,,
-0.006592,0.0068,,
-0.006584,0.006,,
-0.006576,0.006,,
-0.006568,0.0064,,
-0.00656,0.0064,,
-0.006552,0.006,,
-0.006544,0.0056,,
-0.006536,0.0056,,
-0.006528,0.006,,
-0.00652,0.0056,,
-0.006512,0.006,,
-0.006504,0.0056,,
-0.006496,0.004,,
-0.006488,0.0044,,
-0.00648,0.004,,
-0.006472,0.0048,,
-0.006464,0.0044,,
-0.006456,0.0044,,
-0.006448,0.0044,,
-0.00644,0.004,,
-0.006432,0.0044,,
-0.006424,0.0036,,
-0.006416,0.0048,,
-0.006408,0.0048,,
-0.0064,0.0056,,
-0.006392,0.0044,,
-0.006384,0.0052,,
-0.006376,0.0052,,
-0.006368,0.0048,,
-0.00636,0.0048,,
-0.006352,0.0036,,
-0.006344,0.0044,,
-0.006336,0.0048,,
-0.006328,0.0036,,
-0.00632,0.0044,,
-0.006312,0.0048,,
-0.006304,0.0048,,
-0.006296,0.0044,,
-0.006288,0.0044,,
-0.00628,0.0044,,
-0.006272,0.004,,
-0.006264,0.0044,,
-0.006256,0.004,,
-0.006248,0.0044,,
-0.00624,0.004,,
-0.006232,0.0048,,
-0.006224,0.0044,,
-0.006216,0.0044,,
-0.006208,0.0048,,
-0.0062,0.004,,
-0.006192,0.0044,,
-0.006184,0.0052,,
-0.006176,0.0048,,
-0.006168,0.0048,,
-0.00616,0.0048,,
-0.006152,0.0048,,
-0.006144,0.0036,,
-0.006136,0.0048,,
-0.006128,0.0044,,
-0.00612,0.0056,,
-0.006112,0.0048,,
-0.006104,0.0048,,
-0.006096,0.006,,
-0.006088,0.0044,,
-0.00608,0.0052,,
-0.006072,0.004,,
-0.006064,0.0052,,
-0.006056,0.0044,,
-0.006048,0.004,,
-0.00604,0.0048,,
-0.006032,0.0052,,
-0.006024,0.006,,
-0.006016,0.0048,,
-0.006008,0.0048,,
-0.006,0.0068,,
-0.005992,0.0064,,
-0.005984,0.0064,,
-0.005976,0.0064,,
-0.005968,0.0064,,
-0.00596,0.0064,,
-0.005952,0.0064,,
-0.005944,0.0064,,
-0.005936,0.0064,,
-0.005928,0.0064,,
-0.00592,0.0056,,
-0.005912,0.0056,,
-0.005904,0.006,,
-0.005896,0.0056,,
-0.005888,0.0072,,
-0.00588,0.006,,
-0.005872,0.0056,,
-0.005864,0.004,,
-0.005856,0.0056,,
-0.005848,0.006,,
-0.00584,0.0052,,
-0.005832,0.0056,,
-0.005824,0.006,,
-0.005816,0.0072,,
-0.005808,0.0056,,
-0.0058,0.0056,,
-0.005792,0.0052,,
-0.005784,0.0056,,
-0.005776,0.0056,,
-0.005768,0.0048,,
-0.00576,0.0056,,
-0.005752,0.0056,,
-0.005744,0.0072,,
-0.005736,0.0056,,
-0.005728,0.0052,,
-0.00572,0.0056,,
-0.005712,0.0052,,
-0.005704,0.006,,
-0.005696,0.0052,,
-0.005688,0.0052,,
-0.00568,0.0056,,
-0.005672,0.0052,,
-0.005664,0.0052,,
-0.005656,0.0048,,
-0.005648,0.0056,,
-0.00564,0.0052,,
-0.005632,0.0048,,
-0.005624,0.006,,
-0.005616,0.0052,,
-0.005608,0.0076,,
-0.0056,0.006,,
-0.005592,0.006,,
-0.005584,0.0036,,
-0.005576,0.006,,
-0.005568,0.006,,
-0.00556,0.0056,,
-0.005552,0.006,,
-0.005544,0.006,,
-0.005536,0.0076,,
-0.005528,0.006,,
-0.00552,0.0064,,
-0.005512,0.0056,,
-0.005504,0.0056,,
-0.005496,0.0048,,
-0.005488,0.0044,,
-0.00548,0.0048,,
-0.005472,0.0056,,
-0.005464,0.006,,
-0.005456,0.0052,,
-0.005448,0.0052,,
-0.00544,0.0048,,
-0.005432,0.0056,,
-0.005424,0.006,,
-0.005416,0.0056,,
-0.005408,0.006,,
-0.0054,0.0064,,
-0.005392,0.006,,
-0.005384,0.0056,,
-0.005376,0.0052,,
-0.005368,0.006,,
-0.00536,0.0056,,
-0.005352,0.0048,,
-0.005344,0.006,,
-0.005336,0.0056,,
-0.005328,0.0076,,
-0.00532,0.0056,,
-0.005312,0.0056,,
-0.005304,0.004,,
-0.005296,0.006,,
-0.005288,0.0056,,
-0.00528,0.0048,,
-0.005272,0.0056,,
-0.005264,0.0056,,
-0.005256,0.0064,,
-0.005248,0.0056,,
-0.00524,0.0056,,
-0.005232,0.0056,,
-0.005224,0.0048,,
-0.005216,0.0052,,
-0.005208,0.0056,,
-0.0052,0.0052,,
-0.005192,0.0056,,
-0.005184,0.0048,,
-0.005176,0.0052,,
-0.005168,0.0048,,
-0.00516,0.0052,,
-0.005152,0.0052,,
-0.005144,0.0052,,
-0.005136,0.0052,,
-0.005128,0.0052,,
-0.00512,0.0056,,
-0.005112,0.0052,,
-0.005104,0.0048,,
-0.005096,0.0052,,
-0.005088,0.0052,,
-0.00508,0.0052,,
-0.005072,0.004,,
-0.005064,0.0056,,
-0.005056,0.0052,,
-0.005048,0.0068,,
-0.00504,0.0052,,
-0.005032,0.0056,,
-0.005024,0.004,,
-0.005016,0.0056,,
-0.005008,0.0052,,
-0.005,0.006,,
-0.004992,0.0068,,
-0.004984,0.0064,,
-0.004976,0.0072,,
-0.004968,0.0068,,
-0.00496,0.0068,,
-0.004952,0.0064,,
-0.004944,0.006,,
-0.004936,0.006,,
-0.004928,0.0076,,
-0.00492,0.0056,,
-0.004912,0.006,,
-0.004904,0.0048,,
-0.004896,0.006,,
-0.004888,0.006,,
-0.00488,0.006,,
-0.004872,0.0052,,
-0.004864,0.0056,,
-0.004856,0.0056,,
-0.004848,0.0056,,
-0.00484,0.006,,
-0.004832,0.0056,,
-0.004824,0.0052,,
-0.004816,0.006,,
