time,dB
403.4822762,60.34518093
403.588531,60.40417507
403.6926574,60.33675277
403.7985142,60.40670929
403.9013794,60.45947331
404.0058343,60.34373193
404.112211,60.46500092
404.2180676,60.35806962
404.3230329,60.41552205
404.427086,60.59515267
404.5334125,60.58767952
404.6397483,60.46625854
404.7444326,60.4640804
404.8509435,60.53065546
404.9574475,60.52585245
405.0617148,60.39989694
405.1680896,60.50755806
405.2727498,60.47530974
405.3787957,60.58119457
405.481765,60.45679523
405.5881125,60.50041484
405.6920094,60.61984949
405.7961412,60.55383043
405.902493,60.71717449
406.006599,60.6624225
406.1092356,60.53901957
406.2134999,60.74242841
406.3197693,60.64515912
406.4260835,60.71761705
406.5306452,60.60407671
406.6346662,60.72698879
406.7409622,60.76435757
406.8437578,60.71684652
406.9478763,60.66364281
407.0529657,60.55874889
407.1593215,60.71268086
407.264943,60.79615361
407.3712451,60.68187769
407.4778686,60.67706631
407.5820687,60.80011138
407.68843,60.85386808
407.7948258,60.81648198
407.8993051,60.72979828
408.0057264,60.84477367
408.1121037,60.69808106
408.2164637,60.71434598
408.3228093,60.72366433
408.4291778,60.710153
408.5336512,60.73995986
408.6367897,60.74732398
408.7431689,60.69510387
408.8468629,60.8073256
408.9489774,60.70824856
409.0506875,60.78642218
409.1571934,60.65242151
409.2617666,60.78021739
409.3642226,60.73022741
409.4665039,60.72344614
409.5681467,60.65002911
409.6745603,60.58402931
409.7808773,60.75060254
409.8838315,60.6711351
409.9854477,60.67514151
410.0904904,60.73308245
410.1952138,60.81176068
410.2993253,60.71334418
410.401349,60.83515886
410.5031092,60.59639864
410.6094559,60.90921762
410.7157861,60.75735872
410.8187997,60.846337
410.92055,60.66238125
411.0269269,60.73341448
411.1333246,59.11450093
411.2360651,55.02348524
411.3379538,55.12160364
411.4444911,55.12946178
411.550803,55.13150732
411.6534092,55.15833276
411.7551467,55.09945068
411.8600469,55.13482839
411.9664392,55.19972334
412.0688488,55.19025642
412.1709072,55.17720917
412.2726003,55.13277422
412.3774189,55.16732108
412.4830784,55.21284324
412.5863324,55.23707399
412.6884075,55.09835573
412.7901332,55.19266654
412.8965185,55.14962308
412.9988156,55.20865246
413.1038212,55.17596022
413.205953,55.24857206
413.3076184,55.28905162
413.413998,55.29767178
413.5202913,55.38587358
413.6231327,55.41728634
413.724994,55.43935186
413.8313635,55.39487324
413.9377784,55.39475949
414.0405919,55.35590868
414.142322,55.34532217
414.2487228,55.31026486
414.3550582,55.35425486
414.4577908,55.26786932
414.5621603,55.29144176
414.6685491,55.28333582
414.7729875,55.2947884
414.8750705,55.23777458
414.9768018,55.32613984
415.0795778,55.24880342
415.1859715,55.30156447
415.2904134,55.32996126
415.3925571,55.3542984
415.4942359,55.27110025
415.6006018,55.28679701
415.7069584,55.27910597
415.8097759,55.29453063
415.9113803,55.24095826
416.0171939,55.19542695
416.1234885,55.24218251
416.2251523,55.1499267
416.3273284,55.2265315
416.4289714,55.20338228
416.5353916,55.20007854
416.6417911,55.16496134
416.7446373,55.1802753
416.8462433,55.19074022
416.9512347,55.14662356
417.0576365,55.15228162
417.1598977,55.09583357
417.2621893,55.08403957
417.3638128,55.16841272
417.4686961,55.13343648
417.5750003,55.15358682
417.6775534,55.1066238
417.7795465,55.18693521
417.881325,55.14875192
417.9861781,55.14286468
418.0918482,55.1710987
418.1949789,55.21563537
418.2970961,55.11793821
418.3988213,55.19860236
418.5052335,55.13487645
418.6115702,55.18500488
418.7143142,55.10665668
418.8161881,54.8848375
418.9218515,57.10833432
419.0282337,54.81625616
419.129681,54.07019738
419.2317954,53.92067531
419.3335674,53.93557626
419.4353017,53.98456091
419.5417408,53.96538872
419.6471788,53.94161313
419.7492219,53.85886125
419.8509371,53.88965033
419.9573063,53.83652423
420.0636557,53.95777962
420.1665607,53.8944954
420.2682492,53.86432095
420.3746323,53.94033852
420.4809253,53.94357237
420.5818812,53.9725116
420.6839458,53.91723472
420.7856538,54.01673838
420.8865984,53.9507788
420.9931094,54.04660407
421.0993617,54.01353243
421.2014061,53.95543668
421.303149,53.93968817
421.4095128,54.00486365
421.5117908,54.06722341
421.6167588,54.01598379
421.7188662,53.93426085
421.8205811,53.96975553
421.927004,53.96762892
422.0333959,53.96710057
422.1361243,53.85652859
422.2378543,54.01160657
422.3403693,53.92004558
422.4435896,53.973808
422.5500056,53.87284305
422.6516613,53.92150032
422.7537534,53.93035055
422.8555006,53.94167123
422.9618792,53.95191451
423.0644586,54.02570267
423.169044,54.05760932
423.2711988,54.02682241
423.3729311,54.03752613
423.4793217,54.02960036
423.5856457,54.01204319
423.6865845,54.04949369
423.7886213,54.03270644
423.8903177,54.04520238
423.996713,54.09795118
424.1030341,54.05422676
424.2059707,54.05082385
424.3076729,54.04458106
