TIME,CH1,Model,TBS2074B
-8,-0.0032,Firmware Version,v1.31.16
-7.992,-0.0038,,
-7.984,-0.0018,Point Format,Y
-7.976,0.005,Horizontal Units,S
-7.968,-0.002,Horizontal Scale,1
-7.96,0.001,Sample Interval,0.008
-7.952,0.002,Filter Frequency,200000000
-7.944,-0.0038,Record Length,2000
-7.936,-0.001,Gating,0.0% to 100.0%
-7.928,0.0034,Probe Attenuation,1
-7.92,-0.0018,Vertical Units,V
-7.912,0.0016,Vertical Offset,0
-7.904,0.002,Vertical Scale,0.005
-7.896,-0.0018,Label,
-7.888,-0.0038,,
-7.88,0.0028,,
-7.872,0.0012,,
-7.864,-0.0008,,
-7.856,0.006,,
-7.848,-0.0036,,
-7.84,0.0018,,
-7.832,-0.0006,,
-7.824,0.0002,,
-7.816,0.005,,
-7.808,0,,
-7.8,-0.0014,,
-7.792,-0.0008,,
-7.784,-0.002,,
-7.776,-0.0004,,
-7.768,-0.0034,,
-7.76,0.0044,,
-7.752,0.0022,,
-7.744,-0.0024,,
-7.736,0.0034,,
-7.728,0.0014,,
-7.72,-0.0024,,
-7.712,-0.0016,,
-7.704,-0.0008,,
-7.696,0.0026,,
-7.688,-0.0004,,
-7.68,0,,
-7.672,0.0044,,
-7.664,0.0006,,
-7.656,0.0018,,
-7.648,-0.001,,
-7.64,0.0012,,
-7.632,0.001,,
-7.624,-0.0008,,
-7.616,-0.0004,,
-7.608,-0.0004,,
-7.6,0.0016,,
-7.592,-0.0032,,
-7.584,0.0038,,
-7.576,-0.0034,,
-7.568,0.0002,,
-7.56,0.001,,
-7.552,0.0004,,
-7.544,0.0036,,
-7.536,-0.0044,,
-7.528,0.002,,
-7.52,-0.0014,,
-7.512,-0.0008,,
-7.504,-0.002,,
-7.496,0.0038,,
-7.488,0,,
-7.48,-0.0022,,
-7.472,0.0018,,
-7.464,-0.0014,,
-7.456,-0.002,,
-7.448,0.004,,
-7.44,-0.001,,
-7.432,-0.0006,,
-7.424,0.0008,,
-7.416,0.0038,,
-7.408,-0.0008,,
-7.4,-0.0024,,
-7.392,-0.0008,,
-7.384,0.0002,,
-7.376,0.0036,,
-7.368,0.0012,,
-7.36,0.0036,,
-7.352,-0.0012,,
-7.344,-0.0008,,
-7.336,0.0034,,
-7.328,0.0002,,
-7.32,0.0024,,
-7.312,-0.004,,
-7.304,0.0024,,
-7.296,0.0022,,
-7.288,-0.0014,,
-7.28,-0.0006,,
-7.272,-0.0042,,
-7.264,0.0004,,
-7.256,0.0016,,
-7.248,-0.0002,,
-7.24,0.0008,,
-7.232,0.002,,
-7.224,-0.0042,,
-7.216,0.0006,,
-7.208,0.0008,,
-7.2,-0.0018,,
-7.192,-0.0002,,
-7.184,0.004,,
-7.176,-0.0034,,
-7.168,-0.0006,,
-7.16,0.0018,,
-7.152,0,,
-7.144,-0.0012,,
-7.136,0.0016,,
-7.128,0.0018,,
-7.12,0.0002,,
-7.112,0.0024,,
-7.104,-0.0044,,
-7.096,0.0036,,
-7.088,-0.002,,
-7.08,-0.0016,,
-7.072,0.0016,,
-7.064,-0.0032,,
-7.056,-0.0024,,
-7.048,0.0046,,
-7.04,-0.0016,,
-7.032,0.0022,,
-7.024,0.0008,,
-7.016,-0.0008,,
-7.008,0.0038,,
-7,0.0006,,
-6.992,0.0014,,
-6.984,-0.0016,,
-6.976,0.0008,,
-6.968,0.004,,
-6.96,-0.0018,,
-6.952,0.004,,
-6.944,0.0018,,
-6.936,-0.002,,
-6.928,0.0012,,
-6.92,-0.0052,,
-6.912,0.0042,,
-6.904,0.002,,
-6.896,-0.0022,,
-6.888,0.0022,,
-6.88,-0.001,,
-6.872,-0.0034,,
-6.864,-0.0036,,
-6.856,-0.0032,,
-6.848,0.0016,,
-6.84,-0.0008,,
-6.832,0.004,,
-6.824,-0.0024,,
-6.816,0.0008,,
-6.808,-0.0014,,
-6.8,0.0022,,
-6.792,0.0012,,
-6.784,-0.0042,,
-6.776,0.0052,,
-6.768,-0.0036,,
-6.76,0.0012,,
-6.752,0.002,,
-6.744,0.0016,,
-6.736,-0.0042,,
-6.728,-0.0012,,
-6.72,0.0024,,
-6.712,-0.0004,,
-6.704,0.0034,,
-6.696,-0.001,,
-6.688,0.0006,,
-6.68,-0.0004,,
-6.672,0.0008,,
-6.664,-0.0002,,
-6.656,0.0052,,
-6.648,-0.0046,,
-6.64,0.0026,,
-6.632,0.0018,,
-6.624,0.0004,,
-6.616,-0.0008,,
-6.608,-0.0032,,
-6.6,-0.0012,,
-6.592,0.002,,
-6.584,0,,
-6.576,0.0034,,
-6.568,0.0044,,
-6.56,-0.0054,,
-6.552,-0.0012,,
-6.544,0.0024,,
-6.536,-0.0008,,
-6.528,-0.0028,,
-6.52,-0.003,,
-6.512,0.0036,,
-6.504,-0.0026,,
-6.496,0.0034,,
-6.488,0.0004,,
-6.48,-0.0006,,
-6.472,0.004,,
-6.464,0.0002,,
-6.456,-0.0002,,
-6.448,0,,
-6.44,-0.0032,,
-6.432,0.0028,,
-6.424,-0.0038,,
-6.416,0.0038,,
-6.408,0.001,,
-6.4,-0.002,,
-6.392,0.0032,,
-6.384,-0.004,,
-6.376,0.0058,,
-6.368,-0.0014,,
-6.36,0.0028,,
-6.352,-0.0028,,
-6.344,-0.0046,,
-6.336,0.0034,,
-6.328,0.001,,
-6.32,-0.0002,,
-6.312,0.0012,,
-6.304,0.0096,,
-6.296,0.002,,
-6.288,-0.002,,
-6.28,0.0008,,
-6.272,0.0018,,
-6.264,-0.006,,
-6.256,-0.0002,,
-6.248,-0.0024,,
-6.24,0.002,,
-6.232,0.0002,,
-6.224,0.0026,,
-6.216,0.0028,,
-6.208,-0.0004,,
-6.2,0,,
-6.192,0.0014,,
-6.184,0.0002,,
-6.176,0.0002,,
-6.168,-0.0028,,
-6.16,0.001,,
-6.152,-0.0012,,
-6.144,-0.0032,,
-6.136,0.0076,,
-6.128,-0.0048,,
-6.12,0.0018,,
-6.112,0.0004,,
-6.104,0.002,,
-6.096,0.002,,
-6.088,0.0036,,
-6.08,-0.0022,,
-6.072,0.0002,,
-6.064,0.001,,
-6.056,0.0038,,
-6.048,-0.0008,,
-6.04,-0.0032,,
-6.032,-0.0032,,
-6.024,0.0004,,
-6.016,-0.0014,,
-6.008,-0.0056,,
-6,-0.0052,,
-5.992,-0.0046,,
-5.984,-0.0034,,
-5.976,0.0002,,
-5.968,-0.0006,,
-5.96,-0.0002,,
-5.952,0.0002,,
-5.944,0.0032,,
-5.936,-0.0014,,
-5.928,-0.001,,
-5.92,0.0022,,
-5.912,-0.0026,,
-5.904,0.0054,,
-5.896,0.0004,,
-5.888,-0.0004,,
-5.88,0.001,,
-5.872,0.0008,,
-5.864,0.001,,
-5.856,0.0066,,
-5.848,-0.002,,
-5.84,0.001,,
-5.832,-0.0026,,
-5.824,-0.0034,,
-5.816,0.0062,,
-5.808,0.0038,,
-5.8,-0.0016,,
-5.792,0.0012,,
-5.784,-0.0028,,
-5.776,0.0034,,
-5.768,0.004,,
-5.76,0.0008,,
-5.752,-0.0018,,
-5.744,0.0004,,
-5.736,0.0006,,
-5.728,0.0006,,
-5.72,0.0038,,
-5.712,0.0028,,
-5.704,0.0014,,
-5.696,-0.0008,,
-5.688,-0.0024,,
-5.68,0.003,,
