time,xaccelerometer,yaccelerometer,zaccelerometer,force
1.5,0.0543172646,-10.2725800504,0.1134968376,-1.0975344813
1.51,0.0334066497,-10.5306926988,0.0812610494,-1.140697722
1.52,0.0108875258,-10.7764631622,0.0500997875,-1.180264026
1.53,-0.0110954284,-11.0152576082,0.0232366307,-1.21983033
1.54,-0.0277166864,-11.2443929529,0.0060442103,-1.259396634
1.55,-0.0368315699,-11.4654790467,-0.0041637893,-1.2989629381
1.56,-0.0368315699,-11.6758328059,-0.003089263,-1.3349323053
1.57,-0.0336145522,-11.864185279,0.0076559997,-1.3691032042
1.58,-0.0202103118,-12.0359026334,0.0345191565,-1.4014756348
1.59,0.0001641336,-12.1920581025,0.0672922079,-1.4338480653
1.6,0.0242917662,-12.3272855191,0.1059751537,-1.4608250908
1.61,0.0543172646,-12.4480242839,0.1473444152,-1.4878021163
1.62,0.08863212,-12.5526645467,0.1903254662,-1.511182205
1.63,0.1170491096,-12.6390598407,0.2236357807,-1.5291668886
1.64,0.1406405726,-12.7013073816,0.2504989375,-1.5453531039
1.65,0.1567256611,-12.750676121,0.2655423053,-1.5597408508
1.66,0.1647682053,-12.7909223759,0.2676913579,-1.5723301294
1.67,0.163695866,-12.8097039616,0.2553343057,-1.5813224712
1.68,0.1535086434,-12.8070208779,0.232769254,-1.5849194079
1.69,0.1374235549,-12.7978983935,0.1994589395,-1.5867178763
1.7,0.1116874134,-12.7694577066,0.158089678,-1.5849194079
1.71,0.081661915,-12.7179425003,0.1140341008,-1.5795240028
1.72,0.0532449254,-12.6546217259,0.0764256812,-1.5723301294
1.73,0.0275087839,-12.582178467,0.0425781036,-1.5615393192
1.74,0.0044534905,-12.4877339221,0.0184012624,-1.5453531039
1.75,-0.0148486157,-12.3728979413,0.0081932628,-1.5237714835
1.76,-0.0266443472,-12.2462563925,0.0044324209,-1.5021898632
1.77,-0.0303975345,-12.1061994253,0.0157149467,-1.4788097744
1.78,-0.0271805168,-11.9409214717,0.0393545248,-1.451832749
1.79,-0.0153847853,-11.7622280998,0.071590313,-1.4212587868
1.8,-0.0009082057,-11.5679728426,0.1075869431,-1.3906848246
1.81,0.0189300701,-11.3533261496,0.1441208364,-1.3565139257
1.82,0.0393045154,-11.1225809547,0.177968414,-1.3205445584
1.83,0.0596789608,-10.8880794426,0.2064433603,-1.2845751911
1.84,0.081661915,-10.6439188293,0.2268593595,-1.2468073555
1.85,0.0988193427,-10.3825864806,0.2381418853,-1.2054425831
1.86,0.1090065653,-10.1158879646,0.2376046222,-1.1658762791
1.87,0.1138320919,-9.8513359154,0.2268593595,-1.1263099751
1.88,0.1116874134,-9.5862472496,0.2096669391,-1.0849452028
1.89,0.1063257173,-9.3292078347,0.1822665191,-1.0435804304
1.9,0.0939938161,-9.0802176709,0.1484189415,-1.002215658
1.91,0.0789810669,-8.8408866082,0.1156458902,-0.9608508856
1.92,0.0607513,-8.6015555455,0.0823355757,-0.9194861133
1.9201025641,0.0414491939,-8.3745666677,0.0490252612,-0.8799198093
1.9300512821,0.0221470878,-8.1668959922,0.0237738938,-0.8421519736
1.95,0.0039173209,-7.9683478012,0.0038951577,-0.8025856696
1.96,-0.0127039372,-7.7799953281,-0.0095364207,-0.7666163023
1.97,-0.0234273295,-7.607741357,-0.0159835783,-0.7324454034
1.98,-0.0320060433,-7.4494394209,-0.0127599995,-0.7000729729
1.99,-0.0373677395,-7.3018698195,-0.0025519999,-0.6712974791
2,-0.0405847572,-7.1682522531,0.0114168417,-0.6443204536
2.01,-0.0389762483,-7.0528796556,0.0318328409,-0.6227388332
2.02,-0.0346868914,-6.9493126262,0.0581587345,-0.6029556812
2.03,-0.025572008,-6.8602342486,0.083410102,-0.586769466
2.04,-0.0127039372,-6.7926205403,0.1102732588,-0.572381719
2.05,0.0007003032,-6.7405687173,0.1349873631,-0.5615909089
2.06,0.0130322043,-6.7035421627,0.1537915729,-0.552598567
2.07,0.0275087839,-6.6804676432,0.1720585195,-0.547203162
2.08,0.0419853635,-6.6820774934,0.1838783085,-0.5454046936
2.09,0.0575342823,-6.6997858456,0.1924745187,-0.547203162
2.1,0.0704023531,-6.7335926998,0.1913999925,-0.5508000987
2.11,0.0800534061,-6.7877909897,0.1833410454,-0.5579939721
2.12,0.0859512719,-6.8618440988,0.1720585195,-0.5687847823
2.13,0.0864874415,-6.9573618772,0.1521797835,-0.5849709976
2.14,0.0854151023,-7.0716612412,0.1301519949,-0.6011572129
2.15,0.0832704238,-7.2068886578,0.10704968,-0.6227388332
2.16,0.0736193708,-7.3651905939,0.0785747337,-0.6479173903
2.17,0.0618236392,-7.5363713315,0.0538606295,-0.6730959474
