time,xaccelerometer,yaccelerometer,zaccelerometer,force
0,-0.1118214549,-9.8324142815,0.0583247786,-2.0172746753
0.005,-0.1118214549,-9.837206968,0.0583247786,-2.0172746753
0.01,-0.1118214549,-9.8324142815,0.0583247786,-2.0172746753
0.015,-0.1083669445,-9.7509386103,0.0450202784,-2.0355662665
0.032,-0.1154486908,-9.7425514089,0.0436198047,-2.0172746753
0.0416666667,-0.1037609306,-9.7328329056,0.0566908926,-2.0172746753
0.0514285714,-0.1065015089,-9.7490215357,0.0539132864,-2.0172746753
0.06125,-0.0981918411,-9.7465816226,0.0578791733,-2.0172746753
0.0711111111,-0.1017457996,-9.7285727398,0.0762975244,-2.0172746753
0.081,-0.1110774065,-9.7269751777,0.059832981,-2.0172746753
0.0909090909,-0.1073305914,-9.7269751777,0.0719793972,-2.0172746753
0.1008333333,-0.0979573531,-9.7493410482,0.0593051102,-2.0172746753
0.1107692308,-0.106380601,-9.7464454667,0.0445388655,-1.9989830841
0.1207142857,-0.1206406167,-9.7235921048,0.052846455,-2.0172746753
0.1306666667,-0.1169264536,-9.7402881958,0.0534231206,-2.0172746753
0.140625,-0.1074942261,-9.7413532373,0.0534231206,-1.9989830841
0.1505882353,-0.1069851403,-9.7459062895,0.0627362707,-2.0172746753
0.1605555556,-0.1115911542,-9.7415814604,0.0538899452,-2.0172746753
0.1705263158,-0.1118214549,-9.7367784001,0.0674596866,-2.0172746753
0.1805,-0.1164474949,-9.7411448596,0.0634395521,-2.0172746753
0.1904761905,-0.112022968,-9.7413532373,0.0444367477,-2.0172746753
0.2004545455,-0.1118214549,-9.7275503,0.0342086214,-1.9989830841
0.2104347826,-0.1164717574,-9.740800235,0.0526690194,-2.0172746753
0.2204166667,-0.1026861941,-9.7551987762,0.0581432357,-2.0172746753
0.2304,-0.1161395929,-9.7511097777,0.0394183836,-2.0172746753
0.2403846154,-0.1166577695,-9.7555660318,0.0339855114,-2.0172746753
0.2503703704,-0.0979573531,-9.7510983666,0.0527695662,-2.0172746753
0.2603571429,-0.10667312,-9.7416624429,0.0534231206,-2.0172746753
0.2703448276,-0.1116703201,-9.7784965579,0.034429196,-2.0172746753
0.2803333333,-0.1024419357,-9.7889896368,0.0528289802,-2.0172746753
0.2903225806,-0.0927606857,-9.798583553,0.0439081375,-2.0172746753
0.3003125,-0.0924761966,-9.7988654757,0.0483814153,-2.0172746753
0.3103030303,-0.1065821141,-9.8081845884,0.0342249603,-2.0172746753
0.3202941176,-0.1352187605,-9.8037876943,0.0528932116,-2.0172746753
0.3302857143,-0.1077487689,-9.8223244151,0.0534231206,-2.0355662665
0.3402777778,-0.1116974468,-9.841508097,0.058199095,-2.0355662665
0.3502702703,-0.0976752348,-9.8419996546,0.0583247786,-2.0172746753
0.3602631579,-0.1209042896,-9.8419996546,0.0583247786,-2.0172746753
0.3702564103,-0.1073305914,-9.8513568045,0.0583247786,-2.0355662665
0.38025,-0.0928136139,-9.8562662563,0.0631124445,-2.0355662665
0.3902439024,-0.1161081883,-9.8516939523,0.0584361799,-2.0355662665
0.4002380952,-0.1166577695,-9.8515850276,0.0439465819,-2.0355662665
0.4102325581,-0.1071954149,-9.8656505207,0.0628002054,-2.0172746753
0.4202272727,-0.1164519688,-9.8753445162,0.0536317018,-2.0172746753
0.4302222222,-0.1119222114,-9.8567771047,0.0534231206,-2.0355662665
